date,S,E,I1,I2,R,beta_pred
2020-09-29,15568583.850287361,6509.537248959727,3489.7854300011268,2939.982129266191,4208843.820139664,0.5766933967831346
2020-09-30,15567008.020979814,6400.3931462705505,3441.690918085748,2912.3771332360907,4210604.48751446,0.5764602848715179
2020-10-01,15565461.12842748,6291.194411207908,3389.794068631433,2879.0046931176025,4212345.844895393,0.5759540147093851
2020-10-02,15563939.18995066,6185.419130282728,3336.0177865973524,2841.356537738436,4214064.982185747,0.5758942922387089
2020-10-03,15562437.594170623,6086.295500101009,3282.2175752736475,2800.951119294906,4215759.908521047,0.5754605212537617
2020-10-04,15560951.193560597,5996.778172551465,3230.153639718211,2759.293483562283,4217429.551396514,0.5746748368779333
2020-10-05,15559474.49651659,5919.4409192503235,3181.460721896067,2717.842354200436,4219073.734981891,0.5736661769238207
2020-10-06,15558001.942961555,5856.324044929054,3137.5993096830284,2677.9762282377155,4220693.13979339,0.5726449438450378
2020-10-07,15556528.14113127,5808.85407527057,3099.8004451944066,2640.9541661639732,4222289.240651894,0.5710089833526947
2020-10-08,15555048.144755932,5777.739763500923,3069.018789064005,2607.8762709477737,4223864.219912599,0.5697703661177247
2020-10-09,15553557.754086087,5762.877265161163,3045.878382224752,2579.64342585128,4225420.855805187,0.569795428862877
2020-10-10,15552053.638844252,5763.432664777609,3030.641921268494,2556.9190644117066,4226962.385973992,0.5702714860070139
2020-10-11,15550533.292786662,5778.049640018301,3023.2270518800183,2540.1061239924215,4228492.352043344,0.5712509172318637
2020-10-12,15548994.859209608,5805.125202401135,3023.2647617647026,2529.34892118527,4230014.438150081,0.5728202273283749
2020-10-13,15548085.99429863,5836.301827830704,3029.5159445686413,2520.7937573947593,4230894.437872424,0.5754904246241813
2020-10-14,15547318.602860034,5905.392668656398,3048.9237445406625,2530.803453582715,4231563.328841945,0.5772851662023779
2020-10-15,15545717.102951214,5927.9428978126125,3058.795754975147,2532.988732904193,4233130.226308539,0.5832825223717123
2020-10-16,15545745.732104423,5988.523558221483,3080.5837056095957,2537.460215869683,4233014.761925288,0.5876794514258782
2020-10-17,15547277.49047085,6050.921731780009,3100.233178909117,2553.6891516525575,4231384.731339809,0.5939586659357454
2020-10-18,15546917.859327931,6076.0699660863565,3118.6732922310966,2533.7025721009495,4231720.764202315,0.6001734010714126
2020-10-19,15546900.425753543,6165.80158704289,3145.137822965698,2529.612264452605,4231626.097044161,0.5999054401652159
2020-10-20,15542553.9497888,6177.8528934580545,3169.2418683942196,2571.2796444282594,4235894.753443274,0.6020999822545999
2020-10-21,15554376.90486665,6347.28313357939,3216.057287033947,2640.3011330939003,4223786.533813361,0.5873896084703272
2020-10-22,15556243.210692022,6448.9074643289905,3294.592706418706,2666.2301502530254,4221714.150043998,0.5901316660290759
2020-10-23,15539332.06443779,6498.773940443678,3276.09525829954,2691.274639437632,4238568.880723669,0.5718217538365687
